k,mu,R,cert,discovery_minus_cert,relative_cert_gap,cert_midpoint,cert_status,log_k,ceiling,headroom,log_k_minus_R,c,weight,rank_num,rank_den,cond,nit,moved_log_c,gate_failed_coords,spread,c_log_k,E_S,sd_S,eta
3100,1,7.83849026,7.8384261392,6.412080000028908e-05,8.180248730740793e-06,7.8384369069,PASS,8.03915739,8.0417515,0.203261,0.200667,0.12755786,1.0,1,1,1.0,63,0.0088,1,1.0,1.02545771293,1.16058222698,0.356409424743,-0.450555501147
3200,1,7.86964012,7.8695738571,6.626289999989154e-05,8.420067371504093e-06,7.8695845675,PASS,8.07090609,8.07342904,0.203789,0.201266,0.1270329,1.0,1,1,1.0,56,0.0087,0,1.0,1.02527060609,1.16036231476,0.355696288052,-0.450840563005
3300,1,7.89983701,7.899768589,6.842099999992968e-05,8.661064767959014e-06,7.8997792458,PASS,8.10167775,8.10413355,0.204297,0.201841,0.12652823,1.0,1,1,1.0,59,0.0086,0,1.0,1.02509094542,1.16014909067,0.355008806074,-0.451113008845
3400,1,7.92913759,7.929067004,7.058599999965054e-05,8.902103059564962e-06,7.9290776108,PASS,8.13153071,8.13392304,0.204785,0.202393,0.12604257,1.0,1,1,1.0,58,0.0085,0,1.0,1.0249190288,1.15994299163,0.354345454571,-0.451375880716
3500,1,7.95759362,7.9575208629,7.275709999987612e-05,9.143103238774855e-06,7.9575314229,PASS,8.16051825,8.16285049,0.205257,0.202925,0.12557454,1.0,1,1,1.0,53,0.0084,1,1.0,1.02475332509,1.15974259153,0.353704538198,-0.451627203727
3600,1,7.9852525,7.9851775636,7.493639999989199e-05,9.384349461697297e-06,7.9851880802,PASS,8.18868912,8.19096439,0.205712,0.203437,0.12512302,1.0,1,1,1.0,65,0.0083,0,1.0,1.02459351309,1.15954766829,0.353084698202,-0.451867977022
3700,1,8.01215774,8.0120806153,7.712469999887617e-05,9.625958761874822e-06,8.0120910914,PASS,8.2160881,8.21830926,0.206152,0.20393,0.12468718,1.0,1,1,1.0,62,0.0082,0,1.0,1.02444085565,1.15935958648,0.352484960485,-0.452103222383
3800,1,8.03834938,8.0382700642,7.93157999989802e-05,9.867174994448947e-06,8.0382805028,PASS,8.24275635,8.24492606,0.206577,0.204407,0.12426593,1.0,1,1,1.0,60,0.0081,1,1.0,1.02429378306,1.15917683954,0.351903964602,-0.452330338817
3900,1,8.06386436,8.0637828477,8.151229999953102e-05,1.0108342149685046e-05,8.0637932513,PASS,8.26873183,8.27085256,0.206988,0.204867,0.12385822,1.0,1,1,1.0,59,0.008,0,1.0,1.02415040638,1.1589975864,0.351340386376,-0.452545715103
4000,1,8.08873681,8.0886530931,8.371690000075205e-05,1.0349811344739754e-05,8.0886634644,PASS,8.29404964,8.29612367,0.207387,0.205313,0.1234636,1.0,1,1,1.0,56,0.0079,0,1.0,1.02401322715,1.15882441445,0.350793733322,-0.45275727403
