k,log_k,delta_log_previous,eta_target,eta_actual,c,c_log_k,E_S,sd_S,R,cert,log_k_minus_R,log_k_minus_cert,discovery_minus_cert,ceiling,headroom_R,headroom_cert,rank,cond,cert_status,grid_type
183,5.209486152841421,0.02210034700066592,-0.4746,-0.4746000000000545,0.20984258978881404,1.0931720657812094,1.2117063040096048,0.4460731226497692,5.099208021472426,5.0991740718,0.11027813136899578,0.1103120810414211,3.3949672425315214e-05,5.238109703131759,0.13890168165933314,0.13893563133175846,1,1.0,PASS,eta_fixed_geometric
187,5.231108616854587,0.02162246401316571,-0.4746,-0.47459999999999564,0.20881489902152423,1.0923334175991157,1.2112939270136187,0.4452042288529723,5.1196939722114365,5.1196603572,0.11141464464315032,0.11144825965458693,3.361501143661627e-05,5.259232856730149,0.13953888451871244,0.13957249953014905,1,1.0,PASS,eta_fixed_geometric
191,5.25227342804663,0.02116481119204333,-0.4746,-0.4745999999999982,0.20781906634969138,1.0915225600299436,1.2108917583111918,0.4443568443135116,5.1397560762006105,5.1397227817,0.11251735184601941,0.11255064634663015,3.329450061073658e-05,5.27991697240477,0.1401608962041596,0.14019419070477035,1,1.0,PASS,eta_fixed_geometric
195,5.272999558563747,0.020726130517116952,-0.4746,-0.47459999999992186,0.20685341778351535,1.0907379806598787,1.2104993476802997,0.44353002039682743,5.15941161483351,5.1593786272,0.11358794373023695,0.11362093136374707,3.2987633510117575e-05,5.300179968659436,0.14076835382592634,0.14080134145943646,1,1.0,PASS,eta_fixed_geometric
199,5.293304824724492,0.020305266160745523,-0.4746,-0.4745999999999357,0.2059164011665031,1.089978279784555,1.2101162730618835,0.44272286780849557,5.1786768306945135,5.1786441374,0.11462799402997881,0.1146606873244922,3.2693294513386206e-05,5.320038687475626,0.14136185678111257,0.14139455007562596,1,1.0,PASS,eta_fixed_geometric
204,5.318119993844216,0.024815169119723993,-0.4746,-0.47459999999993574,0.2047832077034986,1.0890616712915286,1.209649957337788,0.4417403230885299,5.2022326606308305,5.2022003183,0.11588733321338562,0.115919675544216,3.234233083038163e-05,5.344317629281873,0.1420849686510426,0.14211731098187297,1,1.0,PASS,eta_fixed_geometric
209,5.342334251964811,0.02421425812059453,-0.4746,-0.4745999999999273,0.20368990983198815,1.0881795820750542,1.2091968900715775,0.4407856933662232,5.225230362823869,5.2251983541,0.1171038891409415,0.11713589786481116,3.2008723869658695e-05,5.368018551253103,0.14278818842923346,0.14282019715310312,1,1.0,PASS,eta_fixed_geometric
214,5.365976015021851,0.023641763057040494,-0.4746,-0.47459999999991515,0.20263412992282165,1.0873298809906826,1.2087564021856667,0.43985756887000427,5.247695913928661,5.2476642225,0.1182801010931902,0.11831179252185109,3.1691428660884924e-05,5.391168390679231,0.14347247675056973,0.14350416817923062,1,1.0,PASS,eta_fixed_geometric
219,5.389071729816501,0.023095714794649395,-0.4746,-0.4746000000000433,0.2016136862021658,1.0865106166561869,1.2083278724136328,0.4389546405680864,5.269653513452416,5.269622124,0.11941821636408534,0.11944960581650133,3.138945241598634e-05,5.413792242338595,0.14413872888617973,0.14417011833859572,1,1.0,PASS,eta_fixed_geometric
224,5.4116460518550396,0.022574322038538975,-0.4746,-0.47459999999998687,0.2006265724024513,1.0857199984389347,1.2079107229289132,0.4380756909585313,5.291125742526477,5.2910946408,0.12052030932856272,0.12055141105503964,3.1101726476912006e-05,5.435913522939591,0.14478778041311458,0.1448188821395915,1,1.0,PASS,eta_fixed_geometric
